K,tau_rel,european_put,american_put,premium,premium_pct
70.0,1.000000e-03,0.125956,0.130945,0.004989,3.9609
70.0,1.000000e-02,0.123403,0.128709,0.005306,4.2994
70.0,5.000000e-02,0.110671,0.117284,0.006612,5.9748
70.0,1.000000e-01,0.090052,0.096297,0.006244,6.9341
75.0,1.000000e-03,0.316626,0.331111,0.014486,4.5750
75.0,1.000000e-02,0.315073,0.330454,0.015382,4.8820
75.0,5.000000e-02,0.307245,0.327387,0.020141,6.5554
75.0,1.000000e-01,0.295008,0.319362,0.024354,8.2555
80.0,1.000000e-03,0.687575,0.723874,0.036299,5.2793
80.0,1.000000e-02,0.689058,0.727334,0.038276,5.5549
80.0,5.000000e-02,0.695662,0.745105,0.049443,7.1074
80.0,1.000000e-01,0.704049,0.768336,0.064287,9.1310
85.0,1.000000e-03,1.324808,1.405460,0.080653,6.0879
85.0,1.000000e-02,1.330958,1.415251,0.084293,6.3333
85.0,5.000000e-02,1.359032,1.463953,0.104921,7.7203
85.0,1.000000e-01,1.396156,1.534361,0.138205,9.8990
90.0,1.000000e-03,2.311415,2.473493,0.162078,7.0121
90.0,1.000000e-02,2.322504,2.490402,0.167898,7.2292
90.0,5.000000e-02,2.372695,2.572905,0.200209,8.4381
90.0,1.000000e-01,2.437765,2.695310,0.257546,10.5648
95.0,1.000000e-03,3.714900,4.014590,0.299690,8.0672
95.0,1.000000e-02,3.729469,4.037455,0.307986,8.2582
95.0,5.000000e-02,3.794945,4.147625,0.352680,9.2934
95.0,1.000000e-01,3.878607,4.311882,0.433275,11.1709
100.0,1.000000e-03,5.575767,6.092512,0.516746,9.2677
100.0,1.000000e-02,5.591011,6.118504,0.527493,9.4347
100.0,5.000000e-02,5.659364,6.242785,0.583421,10.3090
100.0,1.000000e-01,5.746274,6.424219,0.677945,11.7980
105.0,1.000000e-03,7.902386,8.741903,0.839517,10.6236
105.0,1.000000e-02,7.915058,8.767407,0.852349,10.7687
105.0,5.000000e-02,7.972075,8.888744,0.916669,11.4985
105.0,1.000000e-01,8.045070,9.066516,1.021446,12.6965
110.0,1.000000e-03,10.676752,11.973903,1.297150,12.1493
110.0,1.000000e-02,10.684076,11.995503,1.311427,12.2746
110.0,5.000000e-02,10.717491,12.097489,1.379998,12.8761
110.0,1.000000e-01,10.761405,12.249524,1.488119,13.8283
115.0,1.000000e-03,13.858392,15.778437,1.920046,13.8548
115.0,1.000000e-02,13.858709,15.793536,1.934827,13.9611
115.0,5.000000e-02,13.860885,15.863537,2.002652,14.4482
115.0,1.000000e-01,13.865523,15.972002,2.106479,15.1922
120.0,1.000000e-03,17.394513,20.134162,2.739649,15.7501
120.0,1.000000e-02,17.387480,20.142015,2.754535,15.8421
120.0,5.000000e-02,17.356384,20.173806,2.817422,16.2328
120.0,1.000000e-01,17.318359,20.226643,2.908284,16.7931
125.0,1.000000e-03,21.226962,24.999677,3.772715,17.7732
125.0,1.000000e-02,21.213384,24.999677,3.786294,17.8486
125.0,5.000000e-02,21.152106,24.999677,3.847571,18.1900
125.0,1.000000e-01,21.073201,24.999677,3.926476,18.6326
130.0,1.000000e-03,25.297868,29.999614,4.701746,18.5855
130.0,1.000000e-02,25.279298,29.999614,4.720316,18.6727
130.0,5.000000e-02,25.194531,29.999614,4.805083,19.0719
130.0,1.000000e-01,25.082550,29.999614,4.917063,19.6035
