H,tau_rel,vanilla,barrier_price,discount,discount_pct
50.0,1.000000e-03,10.453534,10.453534,0.000000,0.0000
55.0,1.000000e-03,10.453534,10.453534,0.000000,0.0000
60.0,1.000000e-03,10.453534,10.453533,0.000000,0.0000
65.0,1.000000e-03,10.453534,10.453508,0.000026,0.0003
70.0,1.000000e-03,10.453534,10.452863,0.000671,0.0064
75.0,1.000000e-03,10.453534,10.442904,0.010629,0.1017
80.0,1.000000e-03,10.453534,10.364059,0.089475,0.8559
82.0,1.000000e-03,10.453534,10.276282,0.177252,1.6956
84.0,1.000000e-03,10.453534,10.118396,0.335138,3.2060
86.0,1.000000e-03,10.453534,9.847912,0.605621,5.7935
88.0,1.000000e-03,10.453534,9.405960,1.047574,10.0212
90.0,1.000000e-03,10.453534,8.916646,1.536888,14.7021
92.0,1.000000e-03,10.453534,7.980796,2.472738,23.6546
94.0,1.000000e-03,10.453534,6.626242,3.827292,36.6124
96.0,1.000000e-03,10.453534,5.269210,5.184324,49.5940
98.0,1.000000e-03,10.453534,2.915778,7.537755,72.1072
50.0,1.000000e-02,10.470895,10.470895,0.000000,0.0000
55.0,1.000000e-02,10.470895,10.470895,0.000000,0.0000
60.0,1.000000e-02,10.470895,10.470895,0.000000,0.0000
65.0,1.000000e-02,10.470895,10.470886,0.000009,0.0001
70.0,1.000000e-02,10.470895,10.470466,0.000429,0.0041
75.0,1.000000e-02,10.470895,10.461806,0.009089,0.0868
80.0,1.000000e-02,10.470895,10.384344,0.086551,0.8266
82.0,1.000000e-02,10.470895,10.295258,0.175637,1.6774
84.0,1.000000e-02,10.470895,10.133287,0.337608,3.2242
86.0,1.000000e-02,10.470895,9.854289,0.616606,5.8888
88.0,1.000000e-02,10.470895,9.397676,1.073219,10.2495
90.0,1.000000e-02,10.470895,8.892474,1.578421,15.0744
92.0,1.000000e-02,10.470895,7.928284,2.542611,24.2826
94.0,1.000000e-02,10.470895,6.537289,3.933606,37.5670
96.0,1.000000e-02,10.470895,5.148157,5.322739,50.8337
98.0,1.000000e-02,10.470895,2.746832,7.724064,73.7670
50.0,5.000000e-02,10.548231,10.548231,0.000000,0.0000
55.0,5.000000e-02,10.548231,10.548231,0.000000,0.0000
60.0,5.000000e-02,10.548231,10.548231,0.000000,0.0000
65.0,5.000000e-02,10.548231,10.548231,0.000000,0.0000
70.0,5.000000e-02,10.548231,10.548231,0.000000,0.0000
75.0,5.000000e-02,10.548231,10.546654,0.001577,0.0149
80.0,5.000000e-02,10.548231,10.492733,0.055498,0.5261
82.0,5.000000e-02,10.548231,10.413652,0.134579,1.2758
84.0,5.000000e-02,10.548231,10.258334,0.289897,2.7483
86.0,5.000000e-02,10.548231,9.979138,0.569093,5.3951
88.0,5.000000e-02,10.548231,9.512619,1.035612,9.8179
90.0,5.000000e-02,10.548231,8.992861,1.555370,14.7453
92.0,5.000000e-02,10.548231,8.000638,2.547593,24.1519
94.0,5.000000e-02,10.548231,6.575008,3.973223,37.6672
96.0,5.000000e-02,10.548231,5.158747,5.389484,51.0937
98.0,5.000000e-02,10.548231,2.724489,7.823742,74.1711
50.0,1.000000e-01,10.645374,10.645374,0.000000,0.0000
55.0,1.000000e-01,10.645374,10.645374,0.000000,0.0000
60.0,1.000000e-01,10.645374,10.645374,0.000000,0.0000
65.0,1.000000e-01,10.645374,10.645374,0.000000,0.0000
70.0,1.000000e-01,10.645374,10.645374,0.000000,0.0000
75.0,1.000000e-01,10.645374,10.645374,0.000000,0.0000
80.0,1.000000e-01,10.645374,10.638050,0.007323,0.0688
82.0,1.000000e-01,10.645374,10.569789,0.075584,0.7100
84.0,1.000000e-01,10.645374,10.425893,0.219481,2.0617
86.0,1.000000e-01,10.645374,10.147638,0.497735,4.6756
88.0,1.000000e-01,10.645374,9.669095,0.976279,9.1709
90.0,1.000000e-01,10.645374,9.132329,1.513044,14.2132
92.0,1.000000e-01,10.645374,8.108330,2.537043,23.8324
94.0,1.000000e-01,10.645374,6.645379,3.999995,37.5750
96.0,1.000000e-01,10.645374,5.201383,5.443991,51.1395
98.0,1.000000e-01,10.645374,2.736005,7.909369,74.2987
