tau_rel,rmse_bp
1.00000000e-05,21.226558
1.09110673e-05,21.226172
1.19051389e-05,21.225751
1.29897772e-05,21.225292
1.41732333e-05,21.224791
1.54645102e-05,21.224244
1.68734311e-05,21.223647
1.84107142e-05,21.222996
2.00880541e-05,21.222286
2.19182110e-05,21.221510
2.39151075e-05,21.220665
2.60939347e-05,21.219742
2.84712677e-05,21.218735
3.10651917e-05,21.217636
3.38954397e-05,21.216438
3.69835423e-05,21.215130
4.03529918e-05,21.213703
4.40294209e-05,21.212145
4.80407973e-05,21.210447
5.24176372e-05,21.208593
5.71932366e-05,21.206570
6.24039252e-05,21.204363
6.80893427e-05,21.201955
7.42927399e-05,21.199328
8.10613083e-05,21.196461
8.84465389e-05,21.193333
9.65046136e-05,21.189920
1.05296833e-04,21.186196
1.14890083e-04,21.182133
1.25357343e-04,21.177700
1.36778240e-04,21.172863
1.49239658e-04,21.167585
1.62836395e-04,21.161826
1.77671886e-04,21.155543
1.93858990e-04,21.148687
2.11520848e-04,21.141206
2.30791821e-04,21.133044
2.51818508e-04,21.124138
2.74760869e-04,21.114421
2.99793432e-04,21.103819
3.27106631e-04,21.092251
3.56908246e-04,21.079628
3.89424988e-04,21.065856
4.24904225e-04,21.050828
4.63615858e-04,21.034432
5.05854382e-04,21.016542
5.51941120e-04,20.997022
6.02226669e-04,20.975723
6.57093570e-04,20.952484
7.16959216e-04,20.927127
7.82279024e-04,20.899460
8.53549906e-04,20.869272
9.31314045e-04,20.836334
1.01616302e-03,20.800394
1.10874231e-03,20.761180
1.20975619e-03,20.718393
1.31997312e-03,20.671707
1.44023155e-03,20.620768
1.57144634e-03,20.565187
1.71461567e-03,20.504541
1.87082869e-03,20.438369
2.04127377e-03,20.366168
2.22724755e-03,20.287387
2.43016478e-03,20.201427
2.65156915e-03,20.107634
2.89314494e-03,20.005294
3.15672990e-03,19.893628
3.44432924e-03,19.771785
3.75813080e-03,19.638838
4.10052180e-03,19.493774
4.47410693e-03,19.335489
4.88172817e-03,19.162777
5.32648645e-03,18.974323
5.81176520e-03,18.768691
6.34125611e-03,18.544314
6.91898721e-03,18.299482
7.54935349e-03,18.032330
8.23715039e-03,17.740821
8.98761021e-03,17.422733
9.80644197e-03,17.075639
1.06998748e-02,16.696891
1.16747054e-02,16.283601
1.27383496e-02,15.832613
1.38988989e-02,15.340484
1.51651822e-02,14.803454
1.65468323e-02,14.217420
1.80543600e-02,13.577901
1.96992337e-02,12.880004
2.14939664e-02,12.118387
2.34522114e-02,11.287215
2.55888656e-02,10.380116
2.79201834e-02,9.390127
3.04639000e-02,8.309644
3.32393662e-02,7.130354
3.62676961e-02,5.843173
3.95719272e-02,4.438166
4.31771960e-02,2.904479
4.71109291e-02,1.230216
5.14030517e-02,0.597616
5.60862155e-02,2.593301
6.11960471e-02,4.772400
6.67714187e-02,7.151814
7.28547442e-02,9.751363
7.94923016e-02,12.591247
8.67345850e-02,15.692659
9.46366893e-02,19.081558
1.03258728e-01,22.787514
1.12666293e-01,26.843723
1.22930951e-01,31.291418
1.34130787e-01,36.177516
1.46351004e-01,41.512186
1.59684566e-01,47.238395
1.74232904e-01,53.559239
1.90106694e-01,60.941943
2.07426692e-01,68.376053
2.26324660e-01,77.201368
2.46944359e-01,86.412163
2.69442651e-01,97.826237
2.93990690e-01,106.549290
3.20775219e-01,127.424693
3.50000000e-01,138.339071
