K,tau_rel,market_iv,bs_iv,rbs_iv
70.0,1.000000e-03,23.412220,20.000000,20.000258
70.0,5.000000e-03,23.412220,20.000000,19.989137
70.0,1.000000e-02,23.412220,20.000000,19.974338
70.0,5.000000e-02,23.412220,20.000000,19.814891
70.0,1.000000e-01,23.412220,20.000000,19.488428
70.0,1.500000e-01,23.412220,20.000000,18.339344
70.0,2.000000e-01,23.412220,20.000000,16.316448
75.0,1.000000e-03,22.553702,20.000000,20.003239
75.0,5.000000e-03,22.553702,20.000000,20.003707
75.0,1.000000e-02,22.553702,20.000000,20.003956
75.0,5.000000e-02,22.553702,20.000000,19.991732
75.0,1.000000e-01,22.553702,20.000000,19.936553
75.0,1.500000e-01,22.553702,20.000000,19.831003
75.0,2.000000e-01,22.553702,20.000000,20.005696
80.0,1.000000e-03,21.836792,20.000000,20.005254
80.0,5.000000e-03,21.836792,20.000000,20.015763
80.0,1.000000e-02,21.836792,20.000000,20.028828
80.0,5.000000e-02,21.836792,20.000000,20.130681
80.0,1.000000e-01,21.836792,20.000000,20.253128
80.0,1.500000e-01,21.836792,20.000000,20.383627
80.0,2.000000e-01,21.836792,20.000000,20.485668
85.0,1.000000e-03,21.239238,20.000000,20.004988
85.0,5.000000e-03,21.239238,20.000000,20.022504
85.0,1.000000e-02,21.239238,20.000000,20.044414
85.0,5.000000e-02,21.239238,20.000000,20.220483
85.0,1.000000e-01,21.239238,20.000000,20.443429
85.0,1.500000e-01,21.239238,20.000000,20.675923
85.0,2.000000e-01,21.239238,20.000000,20.924235
90.0,1.000000e-03,20.743171,20.000000,20.007545
90.0,5.000000e-03,20.743171,20.000000,20.028911
90.0,1.000000e-02,20.743171,20.000000,20.055644
90.0,5.000000e-02,20.743171,20.000000,20.270548
90.0,1.000000e-01,20.743171,20.000000,20.542488
90.0,1.500000e-01,20.743171,20.000000,20.819883
90.0,2.000000e-01,20.743171,20.000000,21.104316
95.0,1.000000e-03,20.334070,20.000000,20.006919
95.0,5.000000e-03,20.334070,20.000000,20.029239
95.0,1.000000e-02,20.334070,20.000000,20.057151
95.0,5.000000e-02,20.334070,20.000000,20.281033
95.0,1.000000e-01,20.334070,20.000000,20.562642
95.0,1.500000e-01,20.334070,20.000000,20.846836
95.0,2.000000e-01,20.334070,20.000000,21.134600
100.0,1.000000e-03,20.000000,20.000000,20.007064
100.0,5.000000e-03,20.000000,20.000000,20.027760
100.0,1.000000e-02,20.000000,20.000000,20.053638
100.0,5.000000e-02,20.000000,20.000000,20.261049
100.0,1.000000e-01,20.000000,20.000000,20.521467
100.0,1.500000e-01,20.000000,20.000000,20.783638
100.0,2.000000e-01,20.000000,20.000000,21.048395
105.0,1.000000e-03,19.731064,20.000000,20.005673
105.0,5.000000e-03,19.731064,20.000000,20.022492
105.0,1.000000e-02,19.731064,20.000000,20.043529
105.0,5.000000e-02,19.731064,20.000000,20.212441
105.0,1.000000e-01,19.731064,20.000000,20.425347
105.0,1.500000e-01,19.731064,20.000000,20.640888
105.0,2.000000e-01,19.731064,20.000000,20.860157
110.0,1.000000e-03,19.518979,20.000000,20.004619
110.0,5.000000e-03,19.518979,20.000000,20.015585
110.0,1.000000e-02,19.518979,20.000000,20.029314
110.0,5.000000e-02,19.518979,20.000000,20.140089
110.0,1.000000e-01,19.518979,20.000000,20.281300
110.0,1.500000e-01,19.518979,20.000000,20.426746
110.0,2.000000e-01,19.518979,20.000000,20.578466
115.0,1.000000e-03,19.356762,20.000000,20.002927
115.0,5.000000e-03,19.356762,20.000000,20.006313
115.0,1.000000e-02,19.356762,20.000000,20.010560
115.0,5.000000e-02,19.356762,20.000000,20.045255
115.0,1.000000e-01,19.356762,20.000000,20.091064
115.0,1.500000e-01,19.356762,20.000000,20.139979
115.0,2.000000e-01,19.356762,20.000000,20.195816
120.0,1.000000e-03,19.238482,20.000000,19.999203
120.0,5.000000e-03,19.238482,20.000000,19.993487
120.0,1.000000e-02,19.238482,20.000000,19.986316
120.0,5.000000e-02,19.238482,20.000000,19.928019
120.0,1.000000e-01,19.238482,20.000000,19.854215
120.0,1.500000e-01,19.238482,20.000000,19.774612
120.0,2.000000e-01,19.238482,20.000000,19.728804
125.0,1.000000e-03,19.159069,20.000000,19.997843
125.0,5.000000e-03,19.159069,20.000000,19.981689
125.0,1.000000e-02,19.159069,20.000000,19.961371
125.0,5.000000e-02,19.159069,20.000000,19.793762
125.0,1.000000e-01,19.159069,20.000000,19.571863
125.0,1.500000e-01,19.159069,20.000000,19.346423
125.0,2.000000e-01,19.159069,20.000000,19.072090
130.0,1.000000e-03,19.114164,20.000000,19.994494
130.0,5.000000e-03,19.114164,20.000000,19.966706
130.0,1.000000e-02,19.114164,20.000000,19.931667
130.0,5.000000e-02,19.114164,20.000000,19.638403
130.0,1.000000e-01,19.114164,20.000000,19.235585
130.0,1.500000e-01,19.114164,20.000000,18.805505
130.0,2.000000e-01,19.114164,20.000000,18.429898
