x,K,k_rbs,k_gauss,k_cauchy,inside_cone
-0.684206,50.4491,0.00000000,0.00339442,0.12528499,0
-0.653822,52.0055,0.00000000,0.00577249,0.13618038,0
-0.624334,53.5618,0.00000000,0.00945314,0.14812255,0
-0.595690,55.1182,0.01318044,0.01494904,0.16123195,0
-0.567845,56.6746,0.00000000,0.02288595,0.17564453,0
-0.540754,58.2309,0.00436123,0.03399649,0.19151380,0
-0.514377,59.7873,0.00000000,0.04910318,0.20901298,0
-0.488678,61.3437,0.02591713,0.06909020,0.22833739,0
-0.463624,62.9000,0.15659259,0.09486459,0.24970680,0
-0.439181,64.4564,0.27505768,0.12730880,0.27336788,1
-0.415322,66.0128,0.02492173,0.16722773,0.29959632,1
-0.392019,67.5691,0.36977045,0.21529379,0.32869849,1
-0.369247,69.1255,0.29475581,0.27199435,0.36101207,1
-0.346981,70.6819,0.37989652,0.33758551,0.39690504,1
-0.325201,72.2382,0.50393760,0.41205595,0.43677211,1
-0.303885,73.7946,0.57865985,0.49510358,0.48102709,1
-0.283014,75.3510,0.67036883,0.58612691,0.53008951,1
-0.262569,76.9073,0.73515890,0.68423174,0.58436311,1
-0.242534,78.4637,0.90168656,0.78825275,0.64420321,1
-0.222893,80.0201,0.93967288,0.89678843,0.70986977,1
-0.203630,81.5764,1.04401926,1.00824699,0.78146313,1
-0.184731,83.1328,1.14390913,1.12090048,0.85884036,1
-0.166183,84.6892,1.23798974,1.23294368,0.94151354,1
-0.147972,86.2455,1.32788311,1.34255456,1.02853638,1
-0.130087,87.8019,1.41436167,1.44795324,1.11839456,1
-0.112516,89.3583,1.48968964,1.54745657,1.20892588,1
-0.095249,90.9146,1.55212328,1.63952616,1.29730679,1
-0.078275,92.4710,1.60937453,1.72280821,1.38014585,1
-0.061584,94.0274,1.66524668,1.79616405,1.45371450,1
-0.045168,95.5837,1.78460646,1.85869089,1.51431536,1
-0.029016,97.1401,1.73216107,1.90973295,1.55874094,1
-0.013121,98.6965,1.77635595,1.94888342,1.58472871,1
0.002525,100.2528,1.88368257,1.97597817,1.59129576,1
0.017930,101.8092,1.76372100,1.99108241,1.57885949,1
0.033102,103.3656,1.93650007,1.99447153,1.54911432,1
0.048046,104.9219,1.76104593,1.98660759,1.50471033,1
