K,tau_rel,delta,gamma
70.0,1.000000e-05,0.98354172,0.00204991
70.0,1.000000e-03,0.98353819,0.00205298
70.0,5.000000e-03,0.98352388,0.00206553
70.0,1.000000e-02,0.98350588,0.00208159
70.0,5.000000e-02,0.98334705,0.00222580
70.0,1.000000e-01,0.98378718,0.00189113
70.0,2.000000e-01,0.99897676,0.00127539
75.0,1.000000e-05,0.96313019,0.00403047
75.0,1.000000e-03,0.96309778,0.00403558
75.0,5.000000e-03,0.96296575,0.00405635
75.0,1.000000e-02,0.96279816,0.00408257
75.0,5.000000e-02,0.96133839,0.00430332
75.0,1.000000e-01,0.95944178,0.00585551
75.0,2.000000e-01,0.93565794,-0.03655810
80.0,1.000000e-05,0.92860667,0.00681389
80.0,1.000000e-03,0.92854061,0.00681868
80.0,5.000000e-03,0.92827229,0.00683798
80.0,1.000000e-02,0.92793373,0.00686201
80.0,5.000000e-02,0.92509026,0.00704625
80.0,1.000000e-01,0.92119084,0.00646832
80.0,2.000000e-01,0.90372872,0.02624081
85.0,1.000000e-05,0.87747558,0.01014768
85.0,1.000000e-03,0.87739010,0.01014871
85.0,5.000000e-03,0.87704403,0.01015268
85.0,1.000000e-02,0.87660984,0.01015728
85.0,5.000000e-02,0.87307358,0.01017696
85.0,1.000000e-01,0.86845921,0.00954497
85.0,2.000000e-01,0.85872739,-0.01122633
90.0,1.000000e-05,0.80967710,0.01358025
90.0,1.000000e-03,0.80960278,0.01357505
90.0,5.000000e-03,0.80930267,0.01355392
90.0,1.000000e-02,0.80892792,0.01352724
90.0,5.000000e-02,0.80594901,0.01330326
90.0,1.000000e-01,0.80227243,0.01282753
90.0,2.000000e-01,0.79454336,0.01610441
95.0,1.000000e-05,0.72788646,0.01659472
95.0,1.000000e-03,0.72785724,0.01658344
95.0,5.000000e-03,0.72773962,0.01653791
95.0,1.000000e-02,0.72759361,0.01648105
95.0,5.000000e-02,0.72646814,0.01602820
95.0,1.000000e-01,0.72518064,0.01547738
95.0,2.000000e-01,0.72287958,0.01294728
100.0,1.000000e-05,0.63684059,0.01875934
100.0,1.000000e-03,0.63687901,0.01874485
100.0,5.000000e-03,0.63703432,0.01868637
100.0,1.000000e-02,0.63722867,0.01861350
100.0,5.000000e-02,0.63879207,0.01803975
100.0,1.000000e-01,0.64076997,0.01733686
100.0,2.000000e-01,0.64482730,0.01607727
105.0,1.000000e-05,0.54224157,0.01983498
105.0,1.000000e-03,0.54235005,0.01982149
105.0,5.000000e-03,0.54278808,0.01976701
105.0,1.000000e-02,0.54333496,0.01969898
105.0,5.000000e-02,0.54768328,0.01915695
105.0,1.000000e-01,0.55302488,0.01863943
105.0,2.000000e-01,0.56417522,0.00808044
110.0,1.000000e-05,0.44969943,0.01978489
110.0,1.000000e-03,0.44986054,0.01977628
110.0,5.000000e-03,0.45051144,0.01974137
110.0,1.000000e-02,0.45132495,0.01969743
110.0,5.000000e-02,0.45782584,0.01933181
110.0,1.000000e-01,0.46593069,0.01927967
110.0,2.000000e-01,0.48013400,0.02217745
115.0,1.000000e-05,0.36368229,0.01876659
115.0,1.000000e-03,0.36386653,0.01876503
115.0,5.000000e-03,0.36461185,0.01875845
115.0,1.000000e-02,0.36554551,0.01874961
115.0,5.000000e-02,0.37309344,0.01865693
115.0,1.000000e-01,0.38264088,0.01766281
115.0,2.000000e-01,0.40171906,-0.01217658
120.0,1.000000e-05,0.28726698,0.01703366
120.0,1.000000e-03,0.28744254,0.01703921
120.0,5.000000e-03,0.28815397,0.01706140
120.0,1.000000e-02,0.28904798,0.01708854
120.0,5.000000e-02,0.29639404,0.01727306
120.0,1.000000e-01,0.30631530,0.01616703
120.0,2.000000e-01,0.31766972,-0.02105367
125.0,1.000000e-05,0.22203753,0.01487542
125.0,1.000000e-03,0.22217855,0.01488645
125.0,5.000000e-03,0.22275114,0.01493095
125.0,1.000000e-02,0.22347331,0.01498637
125.0,5.000000e-02,0.22952763,0.01541330
125.0,1.000000e-01,0.23783489,0.01417913
125.0,2.000000e-01,0.27509333,0.05818958
130.0,1.000000e-05,0.16819961,0.01255805
130.0,1.000000e-03,0.16829073,0.01257205
130.0,5.000000e-03,0.16866150,0.01262880
130.0,1.000000e-02,0.16913107,0.01270013
130.0,5.000000e-02,0.17316540,0.01327830
130.0,1.000000e-01,0.17853793,0.01546722
130.0,2.000000e-01,0.18361321,0.11030383
